variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	ja-zh	IOL-Research	none	1	721	834	1.157	3	342	247796	0.173
legacy_none	legacy (none)	ja-zh	MSLC	none	1	721	820	1.137	3	332	240248	0.185
legacy_none	legacy (none)	ja-zh	NTTSU	none	1	721	985	1.366	3	353	325203	0.169
legacy_none	legacy (none)	ja-zh	Team-J	none	1	721	1707	2.368	3	882	1122561	0.181
legacy_none	legacy (none)	ja-zh	Unbabel-Tower70B	none	1	721	871	1.208	3	351	264673	0.161
legacy_none	legacy (none)	ja-zh	UvA-MT	none	1	721	4681	6.492	3	2476	8571529	0.226
legacy_none	legacy (none)	ja-zh	Aya23	none	1	721	1129	1.566	3	429	430841	0.168
legacy_none	legacy (none)	ja-zh	CommandR-plus	none	1	721	975	1.352	3	365	319787	0.166
legacy_none	legacy (none)	ja-zh	ONLINE-W	none	1	721	2485	3.447	3	1489	2717547	0.197
legacy_none	legacy (none)	ja-zh	ONLINE-B	none	1	721	1423	1.974	3	630	713845	0.193
legacy_none	legacy (none)	ja-zh	Llama3-70B	none	1	721	1074	1.49	3	379	386558	0.183
legacy_none	legacy (none)	ja-zh	ONLINE-A	none	1	721	2310	3.204	3	929	1820762	0.207
legacy_none	legacy (none)	ja-zh	ONLINE-G	none	1	721	1252	1.736	3	435	523514	0.179
legacy_none	legacy (none)	ja-zh	Gemini-1.5-Pro	none	1	721	1387	1.924	3	511	645457	0.182
legacy_none	legacy (none)	ja-zh	Mistral-Large	none	1	721	1127	1.563	3	513	472069	0.177
legacy_none	legacy (none)	ja-zh	Claude-3.5	none	1	721	1119	1.552	3	391	418755	0.177
legacy_none	legacy (none)	ja-zh	GPT-4	none	1	721	842	1.168	3	352	254036	0.171
legacy_none	legacy (none)	ja-zh	Phi-3-Medium	none	1	721	906	1.257	3	350	279806	0.174
none	fixed (none)	cs-uk	BJFU-LPT	none	1	2316	24742	10.683	5	6254	128749056	1.727
none	fixed (none)	cs-uk	CUNI-Transformer	none	1	2316	28738	12.408	5	6854	169538818	1.659
none	fixed (none)	cs-uk	CycleL	none	1	2316	22513	9.721	5	6142	105763111	1.435
none	fixed (none)	cs-uk	IKUN	none	1	2316	28871	12.466	5	6855	171006579	1.66
none	fixed (none)	cs-uk	IKUN-C	none	1	2316	24802	10.709	5	6678	127648154	1.525
none	fixed (none)	cs-uk	IOL-Research	none	1	2316	28785	12.429	5	6831	169991221	1.67
none	fixed (none)	cs-uk	TranssionMT	none	1	2316	28543	12.324	5	6787	167309007	1.652
none	fixed (none)	cs-uk	Unbabel-Tower70B	none	1	2316	29942	12.928	5	7054	183685608	1.728
none	fixed (none)	cs-uk	Aya23	none	1	2316	29078	12.555	5	6874	173153986	1.672
none	fixed (none)	cs-uk	CommandR-plus	none	1	2316	29355	12.675	5	6996	176789167	1.691
none	fixed (none)	cs-uk	ONLINE-W	none	1	2316	29050	12.543	5	6939	173361180	1.688
none	fixed (none)	cs-uk	ONLINE-B	none	1	2316	28565	12.334	5	6789	167574371	1.67
none	fixed (none)	cs-uk	Llama3-70B	none	1	2316	28874	12.467	5	6902	171018514	1.691
none	fixed (none)	cs-uk	ONLINE-A	none	1	2316	29383	12.687	5	6942	177167997	1.693
none	fixed (none)	cs-uk	ONLINE-G	none	1	2316	29481	12.729	5	7022	178192527	1.724
none	fixed (none)	cs-uk	Gemini-1.5-Pro	none	1	2316	34431	14.867	5	10963	260032261	1.981
none	fixed (none)	cs-uk	Mistral-Large	none	1	2316	30563	13.196	5	7686	192684373	1.792
none	fixed (none)	cs-uk	Claude-3.5	none	1	2316	29655	12.804	5	6964	180282593	1.783
none	fixed (none)	cs-uk	GPT-4	none	1	2316	29339	12.668	5	6937	176308069	1.721
none	fixed (none)	cs-uk	Phi-3-Medium	none	1	2316	30439	13.143	5	7821	192392763	1.783
none	fixed (none)	en-cs	CUNI-DocTransformer	none	1	997	28138	28.223	4	7378	198199138	1.994
